1	2	2	4	4	4	4	4
2	2	2	6	6	6	6	6
3	2	1	5	6	6	4	6
4	2	1	6	6	6	6	6
5	2	2	5	3	5	6	2
6	2	1	6	7	7	6	5
7	2	1	6	6	6	5	5
8	2	2	3	2	4	4	7
9	2	2	5	5	5	5	1
10	2	1	5	5	4	4	5
11	2	2	6	7	7	7	7
12	2	2	4	7	4	6	5
13	2	2	4	5	5	4	2
14	2	2	3	3	5	5	6
15	2	1	6	7	7	6	6
16	2	1	5	6	5	3	3
17	2	2	5	6	6	6	6
18	2	1	5	5	7	7	7
19	2	1	7	7	7	7	6
20	2	2	3	5	6	7	6
21	2	2	6	6	7	7	7
22	2	2	4	4	4	3	4
23	2	1	6	7	6	7	2
24	2	2	6	6	6	5	1
25	2	2	6	6	6	6	6
26	2	.	3	5	6	5	5
27	2	1	5	6	6	5	6
28	2	2	6	5	6	6	5
29	2	2	.	.	.	.	.
30	2	1	4	5	4	4	5
31	2	1	6	6	5	5	4
32	2	1	2	3	2	3	2
33	2	1	4	4	4	4	4
34	2	2	6	6	6	6	6
35	2	2	6	6	6	6	5
36	2	2	2	2	2	2	2
37	2	2	7	7	7	7	6
38	2	1	4	3	4	1	3
39	2	1	6	6	6	2	6
40	2	2	5	3	5	6	6
41	2	2	6	5	5	5	6
42	2	2	2	2	2	2	2
43	2	2	6	6	6	6	6
44	2	2	6	5	5	5	6
45	2	2	6	7	7	7	7
46	2	2	7	7	7	7	7
47	2	1	4	4	6	4	2
48	2	1	6	6	6	5	7
49	2	1	5	5	5	4	3
50	2	2	3	3	3	5	1
51	2	2	6	7	6	6	7
52	2	1	6	6	6	6	6
53	2	2	3	3	3	3	2
54	2	1	2	3	3	2	4
55	2	1	6	6	6	6	6
56	2	1	5	5	5	6	6
57	2	1	7	6	7	7	6
58	2	.	.	.	.	.	.
59	2	2	6	7	7	7	7
60	2	2	2	4	5	3	2
61	2	2	6	5	5	6	7
62	2	2	5	3	5	5	3
63	2	1	2	4	1	2	1
64	2	2	6	5	6	6	5
65	2	2	6	6	6	6	7
66	2	2	7	6	6	6	6
67	2	2	5	5	5	6	5
68	2	2	5	6	6	5	6
69	2	1	6	6	6	5	5
70	2	2	6	7	6	5	5
71	2	2	7	6	5	4	7
72	2	.	5	5	5	6	3
73	2	1	5	3	5	6	6
74	2	2	7	7	6	6	7
75	2	2	6	6	7	7	6
76	2	1	5	5	5	6	5
77	2	2	5	6	5	6	3
78	2	2	5	5	5	5	5
79	2	1	7	7	7	7	7
80	2	1	5	6	3	1	4
81	2	2	4	5	4	4	2
82	2	2	5	4	6	4	2
83	2	.	7	7	7	5	5
84	2	2	5	7	5	5	3
85	2	2	3	4	3	6	6
86	2	2	6	7	7	7	7
87	2	.	7	7	7	7	7
88	2	1	6	6	6	6	6
89	2	2	4	6	7	4	4
90	2	2	5	6	6	6	6
91	2	1	6	6	7	7	5
92	2	2	4	6	6	6	6
93	2	2	7	7	7	7	6
94	2	2	4	5	6	5	6
95	2	2	.	.	.	.	.
96	2	2	6	6	5	6	5
97	2	1	7	6	7	7	5
98	2	1	2	3	2	2	3
99	2	1	7	7	7	7	6
100	2	2	6	7	7	6	7
101	2	2	6	6	6	6	6
102	2	1	6	6	6	6	6
103	2	2	5	6	6	6	6
104	2	1	7	7	7	6	6
105	2	1	2	2	3	3	1
106	2	2	7	7	7	5	7
107	2	2	3	4	5	6	4
108	2	2	6	7	7	7	1
109	2	1	6	6	6	6	6
110	2	.	.	.	.	.	.
111	2	1	6	6	7	7	3
112	2	2	6	6	7	6	2
113	2	.	3	6	6	6	3
114	2	1	5	3	5	6	2
115	2	1	6	6	6	5	4
116	2	2	6	6	6	6	5
117	2	2	2	2	2	3	7
118	2	.	6	7	6	4	3
119	2	2	5	5	5	4	3
120	2	2	6	6	6	6	5
121	2	1	7	7	7	7	7
122	2	.	.	.	.	.	.
123	2	1	6	6	6	5	3
124	2	2	6	5	6	5	5
125	2	2	1	1	1	1	1
126	2	2	3	2	3	4	2
127	2	2	7	7	7	7	7
128	2	1	4	4	4	4	4
129	2	2	3	6	5	7	3
130	2	.	.	.	.	.	.
131	2	2	6	6	6	6	6
132	2	.	.	.	.	.	.
133	2	.	6	6	6	5	3
134	2	2	2	3	3	5	2
135	2	1	6	5	3	6	6
136	2	2	6	7	7	7	7
137	2	1	7	7	7	7	7
138	2	1	.	.	.	.	.
139	2	1	5	4	5	6	4
140	2	2	5	5	6	6	6
141	2	.	6	6	5	6	7
142	2	.	.	.	.	.	.
143	2	2	6	6	6	7	7
144	2	2	3	3	5	5	3
145	2	2	7	7	7	7	6
146	2	1	6	6	5	6	6
147	2	1	7	6	6	6	6
148	2	2	3	5	5	6	5
149	2	2	7	7	7	7	7
150	2	1	5	5	6	5	5
151	2	1	4	4	4	4	4
152	2	2	6	7	7	6	7
153	2	2	1	3	2	1	1
154	2	2	5	5	5	4	2
155	2	2	2	6	6	6	6
156	2	2	6	7	7	6	7
157	2	1	4	4	3	2	2
158	2	2	5	3	5	1	2
159	2	2	7	7	7	7	7
160	2	2	3	4	3	2	1
161	2	1	7	7	7	5	6
162	2	1	5	5	6	5	6
163	2	2	6	7	6	6	6
164	2	2	.	.	.	.	.
165	2	2	6	6	6	7	6
166	2	2	6	6	6	6	5
167	2	2	6	7	7	7	6
168	2	2	5	5	5	4	5
169	2	1	7	6	6	7	7
170	2	.	.	.	.	.	.
171	2	1	3	4	4	3	5
172	2	2	7	7	7	6	7
173	2	2	6	6	6	6	6
174	2	2	5	6	7	6	6
175	2	2	5	4	5	4	5
176	2	1	3	2	1	1	2
177	2	2	7	7	7	7	7
178	2	2	5	5	6	3	6
179	2	1	6	6	6	6	7
180	2	2	1	7	4	7	2
181	2	2	.	.	.	.	.
182	2	1	3	2	5	5	4
183	2	2	7	7	7	7	7
184	2	2	7	6	6	7	7
185	2	1	5	5	5	5	4
186	2	2	6	5	6	6	6
187	2	.	.	.	.	.	.
188	2	1	2	3	6	6	1
189	2	2	5	5	5	6	5
190	2	1	5	6	6	3	1
191	2	2	6	6	6	6	5
192	2	2	7	7	7	7	5
193	2	2	5	6	7	6	6
194	2	2	5	3	3	3	2
195	2	2	.	.	.	.	.
196	2	2	4	4	6	6	3
197	2	2	6	6	6	6	6
198	2	2	5	6	5	5	5
199	2	2	6	6	6	5	7
200	2	2	6	6	6	6	3
201	2	2	6	6	6	6	6
202	2	1	5	6	6	6	3
203	2	1	.	.	.	.	.
204	2	2	7	7	7	7	7
205	2	2	2	2	3	2	2
206	2	2	5	6	7	5	7
207	2	2	4	6	6	6	6
